Country,Country Code,2022 Mobile cellular subscriptions,Cell Indicator Name,#_x,"Population
(2024)","Yearly
Change","Net
Change","Density
(P/Km²)","Land Area
(Km²)","Migrants
(net)","Fert.
Rate","Med.
Age","Urban
Pop %","World
Share",#_y,"GDP
(nominal, 2022)","GDP
(abbrev.)","GDP
growth","Population
(2022)","GDP
per capita","Share of
World GDP",Calculated Density (P/Km²)
St. Lucia,LCA,,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,LCN,681825422.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Least developed countries: UN classification,LDC,718332324.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Low income,LIC,311394076.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Liechtenstein,LIE,49662.0,Mobile cellular subscriptions,213.0,39870.0,0.69 %,272,249,160.0,206,1.5,44.0,15 %,0.00 %,,,,,,,,249.1875
Sri Lanka,LKA,31237303.0,Mobile cellular subscriptions,61.0,23103565.0,0.57 %,"131,948",368,62710.0,"-27,245",2.0,33.0,18 %,0.28 %,74.0,"$74,403,578,363",$74.40 billion,-7.82%,"22,834,965","$3,258",0.07%,368.41915165045447
Lower middle income,LMC,2723383291.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Low & middle income,LMY,6508995583.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Lesotho,LSO,1556844.0,Mobile cellular subscriptions,147.0,2337423.0,1.12 %,"25,951",77,30360.0,"-5,107",2.7,22.0,32 %,0.03 %,157.0,"$2,553,459,763",$2.55 billion,0.59%,"2,286,110","$1,117",0.00%,76.99021739130434
Late-demographic dividend,LTE,2987085221.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Lithuania,LTU,3826338.0,Mobile cellular subscriptions,141.0,2859110.0,0.18 %,"5,011",46,62674.0,"2,617",1.2,42.0,68 %,0.04 %,79.0,"$70,334,299,008",$70.33 billion,1.89%,"2,816,919","$24,969",0.07%,45.618757379455595
Luxembourg,LUX,,Mobile cellular subscriptions,168.0,673036.0,1.19 %,"7,938",260,2590.0,"5,677",1.4,39.0,87 %,0.01 %,69.0,"$82,274,812,251",$82.27 billion,1.55%,"653,313","$125,935",0.08%,259.85945945945946
Latvia,LVA,2167034.0,Mobile cellular subscriptions,151.0,1871871.0,-0.56 %,"-10,525",30,62200.0,"-2,225",1.3,43.0,67 %,0.02 %,95.0,"$41,153,912,663",$41.15 billion,1.98%,"1,881,063","$21,878",0.04%,30.094389067524116
"Macao SAR, China",MAC,1213216.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
St. Martin (French part),MAF,,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Morocco,MAR,52958744.0,Mobile cellular subscriptions,40.0,38081173.0,0.98 %,"368,668",85,446300.0,"-46,802",2.2,30.0,67 %,0.47 %,59.0,"$134,182,000,000",$134 billion,1.08%,"37,329,064","$3,595",0.13%,85.32640152363881
Monaco,MCO,38955.0,Mobile cellular subscriptions,216.0,38631.0,-0.83 %,-325,"25,927",1.0,110,2.1,54.0,N.A.,0.00 %,,,,,,,,38631.0
Moldova,MDA,4170329.0,Mobile cellular subscriptions,138.0,3034961.0,-1.05 %,"-32,109",92,32850.0,"-27,088",1.7,38.0,57 %,0.04 %,131.0,"$14,420,947,884",$14.42 billion,-5.95%,"3,039,985","$4,744",0.01%,92.38846270928462
Madagascar,MDG,20782900.0,Mobile cellular subscriptions,49.0,31964956.0,2.47 %,"769,024",55,581795.0,"-1,795",3.9,19.0,40 %,0.39 %,129.0,"$14,954,967,604",$14.95 billion,3.80%,"30,437,261",$491,0.01%,54.94195721860793
Maldives,MDV,715188.0,Mobile cellular subscriptions,173.0,527799.0,0.34 %,"1,805","1,759",300.0,"-2,421",1.6,32.0,39 %,0.01 %,145.0,"$6,189,865,408",$6.19 billion,12.30%,"524,106","$11,810",0.01%,1759.33
Middle East & North Africa,MEA,541231179.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Mexico,MEX,127871590.0,Mobile cellular subscriptions,11.0,130861007.0,0.86 %,"1,121,248",67,1943950.0,"-104,581",1.9,29.0,87 %,1.60 %,14.0,"$1,414,190,000,000",$1.414 trillion,3.06%,"128,613,117","$10,996",1.41%,67.31706422490291
Marshall Islands,MHL,,Mobile cellular subscriptions,217.0,37548.0,-3.29 %,"-1,279",209,180.0,"-1,765",2.9,21.0,N.A.,0.00 %,175.0,"$279,667,900",$280 million,1.50%,"40,077","$6,978",0.00%,208.6
Middle income,MIC,6197601507.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
North Macedonia,MKD,2048236.0,Mobile cellular subscriptions,152.0,1823009.0,-0.48 %,"-8,793",72,25220.0,"-5,728",1.5,41.0,69 %,0.02 %,133.0,"$13,563,132,057",$13.56 billion,2.15%,"1,840,233","$7,370",0.01%,72.28425852498017
Mali,MLI,25869010.0,Mobile cellular subscriptions,58.0,24478595.0,2.98 %,"709,468",20,1220190.0,"-46,880",5.5,16.0,44 %,0.30 %,119.0,"$18,827,176,532",$18.83 billion,3.69%,"23,072,640",$816,0.02%,20.061297830665715
Malta,MLT,701762.0,Mobile cellular subscriptions,172.0,539607.0,1.25 %,"6,651","1,686",320.0,"6,323",1.1,41.0,77 %,0.01 %,121.0,"$17,765,270,015",$17.77 billion,6.85%,"528,192","$33,634",0.02%,1686.271875
Myanmar,MMR,57807409.0,Mobile cellular subscriptions,27.0,54500091.0,0.68 %,"366,293",83,653290.0,"-37,979",2.1,30.0,34 %,0.67 %,84.0,"$59,364,362,541",$59.36 billion,3.00%,"53,756,787","$1,104",0.06%,83.42403985978662
Middle East & North Africa (excluding high income),MNA,437226852.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Montenegro,MNE,1274031.0,Mobile cellular subscriptions,169.0,638479.0,0.78 %,"4,927",47,13450.0,"-1,686",1.8,40.0,68 %,0.01 %,146.0,"$6,095,978,868",$6.10 billion,6.09%,"614,648","$9,918",0.01%,47.47055762081784
Mongolia,MNG,4835520.0,Mobile cellular subscriptions,133.0,3475540.0,1.27 %,"43,608",2,1553560.0,83,2.6,27.0,67 %,0.04 %,124.0,"$16,810,883,361",$16.81 billion,4.85%,"3,386,015","$4,965",0.02%,2.23714565256572
Northern Mariana Islands,MNP,,Mobile cellular subscriptions,211.0,44278.0,-1.92 %,-865,96,460.0,"-1,097",2.3,37.0,N.A.,0.00 %,,,,,,,,96.25652173913043
Mozambique,MOZ,13870798.0,Mobile cellular subscriptions,45.0,34631766.0,2.96 %,"996,606",44,786380.0,"-38,940",4.7,16.0,41 %,0.42 %,120.0,"$17,851,491,428",$17.85 billion,4.15%,"32,656,246",$547,0.02%,44.039479640886086
Mauritania,MRT,5357540.0,Mobile cellular subscriptions,126.0,5169395.0,2.93 %,"146,954",5,1030700.0,"-2,185",4.6,17.0,60 %,0.06 %,143.0,"$10,375,460,680",$10.38 billion,5.20%,"4,875,637","$2,128",0.01%,5.015421558164355
Mauritius,MUS,2096800.0,Mobile cellular subscriptions,158.0,1271169.0,-0.19 %,"-2,419",626,2030.0,"-2,787",1.2,37.0,41 %,0.02 %,136.0,"$12,898,307,089",$12.90 billion,8.69%,"1,276,130","$10,107",0.01%,626.1916256157635
Malawi,MWI,12269158.0,Mobile cellular subscriptions,62.0,21655286.0,2.61 %,"550,804",230,94280.0,"-1,507",3.6,18.0,19 %,0.27 %,135.0,"$13,164,667,627",$13.16 billion,0.92%,"20,568,728",$640,0.01%,229.69119643614764
Malaysia,MYS,47952100.0,Mobile cellular subscriptions,44.0,35557673.0,1.23 %,"431,375",108,328550.0,"174,770",1.5,31.0,77 %,0.44 %,36.0,"$406,306,000,000",$406 billion,8.69%,"34,695,493","$11,711",0.40%,108.22606300410897
North America,NAC,407764123.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Namibia,NAM,2905781.0,Mobile cellular subscriptions,139.0,3030131.0,2.26 %,"67,036",4,823290.0,"4,211",3.2,21.0,54 %,0.04 %,139.0,"$12,607,436,976",$12.61 billion,4.56%,"2,889,662","$4,363",0.01%,3.680514763934944
New Caledonia,NCL,,Mobile cellular subscriptions,185.0,292639.0,0.96 %,"2,769",16,18280.0,455,2.0,34.0,75 %,0.00 %,,,,,,,,16.008698030634573
Niger,NER,,Mobile cellular subscriptions,54.0,27032412.0,3.34 %,"872,545",21,1266700.0,"-4,041",5.9,15.0,18 %,0.33 %,132.0,"$13,969,605,583",$13.97 billion,11.50%,"25,311,973",$552,0.01%,21.340816294308045
Nigeria,NGA,222225300.0,Mobile cellular subscriptions,6.0,232679478.0,2.10 %,"4,796,533",255,910770.0,"-35,202",4.4,18.0,54 %,2.85 %,30.0,"$477,386,000,000",$477 billion,3.25%,"223,150,896","$2,139",0.47%,255.47556243618038
Nicaragua,NIC,,Mobile cellular subscriptions,109.0,6916140.0,1.36 %,"92,527",57,120340.0,"-8,189",2.2,26.0,58 %,0.08 %,127.0,"$15,671,583,878",$15.67 billion,3.75%,"6,730,654","$2,328",0.02%,57.47166361974406
Netherlands,NLD,20737000.0,Mobile cellular subscriptions,71.0,18228742.0,0.75 %,"136,218",541,33720.0,"121,628",1.4,41.0,89 %,0.22 %,18.0,"$991,115,000,000",$991 billion,4.48%,"17,904,421","$55,356",0.99%,540.5913997627521
Norway,NOR,6014642.0,Mobile cellular subscriptions,119.0,5576660.0,1.04 %,"57,493",15,365268.0,"44,356",1.4,40.0,86 %,0.07 %,24.0,"$579,267,000,000",$579 billion,3.28%,"5,456,801","$106,155",0.58%,15.267310577439032
Nepal,NPL,,Mobile cellular subscriptions,51.0,29651054.0,-0.15 %,"-43,560",207,143350.0,"-401,282",2.0,25.0,24 %,0.36 %,96.0,"$40,828,247,302",$40.83 billion,5.61%,"29,715,436","$1,374",0.04%,206.84376700383677
Nauru,NRU,,Mobile cellular subscriptions,224.0,11947.0,0.61 %,72,597,20.0,-121,3.3,20.0,95 %,0.00 %,,,,,,,,597.35
New Zealand,NZL,5947000.0,Mobile cellular subscriptions,125.0,5213944.0,0.79 %,"41,108",20,263310.0,"18,766",1.7,38.0,83 %,0.06 %,50.0,"$247,234,000,000",$247 billion,2.16%,"5,131,734","$48,177",0.25%,19.801541908776727
OECD members,OED,1686442871.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Oman,OMN,6749535.0,Mobile cellular subscriptions,123.0,5281538.0,4.60 %,"232,269",17,309500.0,"154,219",2.5,29.0,93 %,0.06 %,63.0,"$114,667,000,000",$115 billion,4.31%,"4,730,226","$24,241",0.11%,17.064743134087237
Other small states,OSS,17444565.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Pakistan,PAK,192779544.0,Mobile cellular subscriptions,5.0,251269164.0,1.52 %,"3,764,669",326,770880.0,"-1,401,173",3.5,20.0,34 %,3.08 %,41.0,"$376,533,000,000",$377 billion,6.19%,"243,700,667","$1,545",0.37%,325.95107409713574
Panama,PAN,6890901.0,Mobile cellular subscriptions,129.0,4515577.0,1.27 %,"56,818",61,74340.0,"6,706",2.1,30.0,70 %,0.06 %,72.0,"$76,522,511,781",$76.52 billion,10.81%,"4,400,773","$17,388",0.08%,60.7422249125639
Peru,PER,41549487.0,Mobile cellular subscriptions,47.0,34217848.0,1.10 %,"372,231",27,1280000.0,"18,406",2.0,30.0,80 %,0.42 %,51.0,"$242,632,000,000",$243 billion,2.68%,"33,475,438","$7,248",0.24%,26.73269375
Philippines,PHL,166454458.0,Mobile cellular subscriptions,14.0,115843670.0,0.83 %,"952,471",389,298170.0,"-160,373",1.9,26.0,49 %,1.42 %,38.0,"$404,284,000,000",$404 billion,7.57%,"113,964,338","$3,547",0.40%,388.51551128550824
Palau,PLW,24000.0,Mobile cellular subscriptions,221.0,17695.0,-0.18 %,-32,38,460.0,-14,1.9,38.0,N.A.,0.00 %,,,,,,,,38.46739130434783
Papua New Guinea,PNG,,Mobile cellular subscriptions,92.0,10576502.0,1.80 %,"186,867",23,452860.0,-707,3.1,23.0,12 %,0.13 %,100.0,"$30,633,444,295",$30.63 billion,4.60%,"10,203,169","$3,002",0.03%,23.35490438546129
Poland,POL,52589287.0,Mobile cellular subscriptions,39.0,38539201.0,-0.58 %,"-223,643",126,306230.0,"-238,062",1.3,42.0,59 %,0.47 %,21.0,"$688,177,000,000",$688 billion,4.87%,"38,385,739","$17,928",0.68%,125.85050778826373
Pre-demographic dividend,PRE,783016469.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Puerto Rico,PRI,3896159.0,Mobile cellular subscriptions,135.0,3242204.0,0.01 %,181,366,8870.0,"11,561",0.9,45.0,N.A.,0.04 %,,,,,,,,365.52468996617813
"Korea, Dem. People's Rep.",PRK,,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Portugal,PRT,12792302.0,Mobile cellular subscriptions,93.0,10425292.0,-0.05 %,"-5,446",114,91590.0,"20,648",1.5,47.0,66 %,0.13 %,49.0,"$251,945,000,000",$252 billion,6.69%,"10,417,073","$24,186",0.25%,113.82565782290644
Paraguay,PRY,8659347.0,Mobile cellular subscriptions,108.0,6929153.0,1.24 %,"85,007",17,397300.0,"-12,451",2.4,27.0,68 %,0.08 %,94.0,"$41,722,295,362",$41.72 billion,0.08%,"6,760,464","$6,172",0.04%,17.440606594512964
West Bank and Gaza,PSE,4387756.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Pacific island small states,PSS,,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Post-demographic dividend,PST,1387389534.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
French Polynesia,PYF,327667.0,Mobile cellular subscriptions,187.0,281807.0,0.25 %,689,77,3660.0,"-1,261",1.5,35.0,66 %,0.00 %,,,,,,,,76.99644808743169
Qatar,QAT,4692966.0,Mobile cellular subscriptions,137.0,3048423.0,2.33 %,"69,341",263,11610.0,"46,105",1.7,34.0,97 %,0.04 %,52.0,"$237,296,000,000",$237 billion,4.83%,"2,892,455","$82,040",0.24%,262.5687338501292
Romania,ROU,23219000.0,Mobile cellular subscriptions,67.0,19015088.0,-0.54 %,"-103,391",83,230170.0,"-28,466",1.7,43.0,55 %,0.23 %,44.0,"$301,262,000,000",$301 billion,4.79%,"19,166,772","$15,718",0.30%,82.61323369683278
Russian Federation,RUS,245266945.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Rwanda,RWA,11002078.0,Mobile cellular subscriptions,77.0,14256567.0,2.16 %,"302,096",578,24670.0,"-15,582",3.6,20.0,18 %,0.17 %,134.0,"$13,312,796,765",$13.31 billion,8.16%,"13,651,030",$975,0.01%,577.8908390758006
South Asia,SAS,1548602577.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Saudi Arabia,SAU,48197996.0,Mobile cellular subscriptions,48.0,33962757.0,2.10 %,"698,465",16,2149690.0,"122,170",2.3,30.0,92 %,0.42 %,17.0,"$1,108,150,000,000",$1.108 trillion,8.74%,"32,175,352","$34,441",1.10%,15.798909145039516
Sudan,SDN,34671259.0,Mobile cellular subscriptions,30.0,50448963.0,0.81 %,"406,172",29,1765048.0,"-544,257",4.3,18.0,35 %,0.62 %,86.0,"$51,662,241,775",$51.66 billion,-0.95%,"49,383,346","$1,046",0.05%,28.582204563275333
Senegal,SEN,20854830.0,Mobile cellular subscriptions,69.0,18501984.0,2.35 %,"424,411",96,192530.0,"-10,307",3.8,19.0,52 %,0.23 %,106.0,"$27,684,430,244",$27.68 billion,4.15%,"17,651,103","$1,568",0.03%,96.0992260946346
Singapore,SGP,9350700.0,Mobile cellular subscriptions,115.0,5832387.0,0.75 %,"43,297","8,332",700.0,"20,011",1.0,36.0,N.A.,0.07 %,33.0,"$466,789,000,000",$467 billion,3.65%,"5,649,885","$82,619",0.46%,8331.98142857143
Solomon Islands,SLB,,Mobile cellular subscriptions,165.0,819198.0,2.40 %,"19,193",29,27990.0,"1,610",3.5,20.0,23 %,0.01 %,164.0,"$1,595,710,784",$1.60 billion,-4.06%,"781,066","$2,043",0.00%,29.267524115755627
Sierra Leone,SLE,,Mobile cellular subscriptions,102.0,8642022.0,2.15 %,"181,510",120,72180.0,"-11,000",3.7,19.0,45 %,0.11 %,151.0,"$3,970,343,852",$3.97 billion,3.50%,"8,276,807",$480,0.00%,119.72876142975893
El Salvador,SLV,11508619.0,Mobile cellular subscriptions,112.0,6338193.0,0.45 %,"28,569",306,20720.0,"-23,102",1.8,27.0,79 %,0.08 %,98.0,"$32,488,720,000",$32.49 billion,2.60%,"6,280,319","$5,173",0.03%,305.8973455598456
San Marino,SMR,41000.0,Mobile cellular subscriptions,218.0,33581.0,-0.45 %,-152,560,60.0,37,1.2,48.0,100 %,0.00 %,,,,,,,,559.6833333333333
Somalia,SOM,8844000.0,Mobile cellular subscriptions,68.0,19009151.0,3.54 %,"650,536",30,627340.0,"26,859",6.0,16.0,46 %,0.23 %,,,,,,,,30.301193929926356
Serbia,SRB,8621147.0,Mobile cellular subscriptions,111.0,6736216.0,-0.55 %,"-36,985",77,87460.0,"-8,132",1.5,44.0,73 %,0.08 %,82.0,"$63,501,748,652",$63.50 billion,2.25%,"6,791,213","$9,351",0.06%,77.0205351017608
Sub-Saharan Africa (excluding high income),SSA,988735292.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
South Sudan,SSD,3276146.0,Mobile cellular subscriptions,81.0,11943408.0,4.01 %,"460,034",20,610952.0,"15,374",3.8,18.0,27 %,0.15 %,,,,,,,,19.548848354698897
Sub-Saharan Africa,SSF,988940432.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Small states,SST,19683213.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,STP,197318.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Suriname,SUR,928840.0,Mobile cellular subscriptions,170.0,634431.0,0.88 %,"5,545",4,156000.0,"-1,166",2.2,28.0,62 %,0.01 %,152.0,"$3,620,655,116",$3.62 billion,1.89%,"623,164","$5,810",0.00%,4.066865384615385
Slovak Republic,SVK,7445151.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Slovenia,SVN,2674900.0,Mobile cellular subscriptions,149.0,2118697.0,0.01 %,301,105,20140.0,"3,319",1.6,44.0,55 %,0.03 %,83.0,"$62,117,768,015",$62.12 billion,5.37%,"2,115,228","$29,367",0.06%,105.19846077457795
Sweden,SWE,13194189.0,Mobile cellular subscriptions,90.0,10606999.0,0.53 %,"55,505",26,410340.0,"50,115",1.4,40.0,87 %,0.13 %,23.0,"$585,939,000,000",$586 billion,2.64%,"10,487,338","$55,871",0.58%,25.84929326899644
Eswatini,SWZ,1468083.0,Mobile cellular subscriptions,159.0,1242822.0,1.00 %,"12,316",72,17200.0,"-6,754",2.7,22.0,31 %,0.02 %,149.0,"$4,854,167,638",$4.85 billion,3.91%,"1,218,917","$3,982",0.00%,72.25709302325582
Sint Maarten (Dutch part),SXM,,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Seychelles,SYC,205140.0,Mobile cellular subscriptions,194.0,130418.0,1.93 %,"2,467",284,460.0,"1,747",2.1,34.0,44 %,0.00 %,165.0,"$1,588,406,479",$1.59 billion,8.80%,"125,522","$12,654",0.00%,283.5173913043478
Syrian Arab Republic,SYR,,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Turks and Caicos Islands,TCA,,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Chad,TCD,12086643.0,Mobile cellular subscriptions,65.0,20299123.0,5.07 %,"980,059",16,1259200.0,"204,040",6.0,16.0,22 %,0.25 %,138.0,"$12,704,149,842",$12.70 billion,2.24%,"18,455,316",$688,0.01%,16.12065041296061
East Asia & Pacific (IDA & IBRD countries),TEA,2659505463.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (IDA & IBRD countries),TEC,589262813.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Togo,TGO,6564132.0,Mobile cellular subscriptions,97.0,9515236.0,2.27 %,"210,899",175,54390.0,"-14,014",4.1,19.0,44 %,0.12 %,144.0,"$8,126,439,481",$8.13 billion,5.81%,"9,089,738",$894,0.01%,174.94458540172826
Thailand,THA,126414000.0,Mobile cellular subscriptions,20.0,71668011.0,-0.05 %,"-34,424",140,510890.0,"23,321",1.2,40.0,53 %,0.88 %,29.0,"$495,341,000,000",$495 billion,2.59%,"71,735,329","$6,905",0.49%,140.28070817592828
Tajikistan,TJK,,Mobile cellular subscriptions,91.0,10590927.0,1.94 %,"201,128",76,139960.0,"-21,236",3.0,22.0,27 %,0.13 %,142.0,"$10,492,123,388",$10.49 billion,8.00%,"10,182,222","$1,030",0.01%,75.67109888539582
Turkmenistan,TKM,,Mobile cellular subscriptions,104.0,7494498.0,1.77 %,"130,060",16,469930.0,"14,646",2.7,27.0,46 %,0.09 %,,,,,,,,15.948115676802928
Latin America & the Caribbean (IDA & IBRD countries),TLA,669925178.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Timor-Leste,TLS,1481007.0,Mobile cellular subscriptions,155.0,1400638.0,1.18 %,"16,352",94,14870.0,"-2,552",2.6,21.0,35 %,0.02 %,154.0,"$3,163,324,631",$3.16 billion,-17.49%,"1,369,295","$2,310",0.00%,94.19219905850706
Middle East & North Africa (IDA & IBRD countries),TMN,432839096.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Tonga,TON,,Mobile cellular subscriptions,197.0,104175.0,-0.40 %,-422,145,720.0,"-2,149",3.1,21.0,26 %,0.00 %,,,,,,,,144.6875
South Asia (IDA & IBRD),TSA,1548602577.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa (IDA & IBRD countries),TSS,988940432.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,TTO,1999029.0,Mobile cellular subscriptions,154.0,1507782.0,0.32 %,"4,850",294,5130.0,"1,334",1.5,37.0,49 %,0.02 %,104.0,"$27,899,082,337",$27.90 billion,2.48%,"1,495,921","$18,650",0.03%,293.9146198830409
Tunisia,TUN,15971243.0,Mobile cellular subscriptions,80.0,12277109.0,0.63 %,"76,678",79,155360.0,"-15,221",1.8,33.0,71 %,0.15 %,88.0,"$46,664,948,952",$46.66 billion,2.52%,"12,119,334","$3,850",0.05%,79.02361611740474
Turkiye,TUR,90297565.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Tuvalu,TUV,,Mobile cellular subscriptions,227.0,9646.0,-1.73 %,-170,322,30.0,-280,3.2,24.0,83 %,0.00 %,177.0,"$60,349,391",$60 million,0.68%,"9,992","$6,040",0.00%,321.53333333333336
Tanzania,TZA,60192331.0,Mobile cellular subscriptions,22.0,68560157.0,2.92 %,"1,942,551",77,885800.0,"-29,865",4.5,17.0,39 %,0.84 %,73.0,"$75,709,289,056",$75.71 billion,4.56%,"64,711,821","$1,170",0.08%,77.39913863174532
Uganda,UGA,33068233.0,Mobile cellular subscriptions,31.0,50015092.0,2.79 %,"1,358,491",250,199810.0,"-117,924",4.2,17.0,29 %,0.61 %,90.0,"$45,559,202,049",$45.56 billion,4.65%,"47,312,719",$963,0.05%,250.31325759471497
Ukraine,UKR,49304301.0,Mobile cellular subscriptions,42.0,37860221.0,0.34 %,"127,385",65,579320.0,"1,146,012",1.0,42.0,79 %,0.46 %,58.0,"$160,503,000,000",$161 billion,-29.10%,"41,048,766","$3,910",0.16%,65.35286370227163
Upper middle income,UMC,3474218216.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Uruguay,URY,4741473.0,Mobile cellular subscriptions,134.0,3386588.0,-0.04 %,"-1,493",19,175020.0,"-1,348",1.4,36.0,N.A.,0.04 %,77.0,"$71,177,146,197",$71.18 billion,4.92%,"3,390,913","$20,991",0.07%,19.349720031996345
United States,USA,372682000.0,Mobile cellular subscriptions,3.0,345426571.0,0.57 %,"1,949,236",38,9147420.0,"1,286,132",1.6,38.0,82 %,4.23 %,1.0,"$25,462,700,000,000",$25.463 trillion,2.06%,"341,534,046","$74,554",25.32%,37.76218551241771
Uzbekistan,UZB,35690069.0,Mobile cellular subscriptions,43.0,36361859.0,1.99 %,"709,552",85,425400.0,"-7,066",3.5,27.0,48 %,0.45 %,70.0,"$80,391,853,885",$80.39 billion,5.67%,"34,938,955","$2,301",0.08%,85.47686647860837
St. Vincent and the Grenadines,VCT,104428.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
"Venezuela, RB",VEN,17948623.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
British Virgin Islands,VGB,,Mobile cellular subscriptions,214.0,39471.0,1.25 %,486,263,150.0,212,1.0,38.0,43 %,0.00 %,,,,,,,,263.14
Virgin Islands (U.S.),VIR,,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Viet Nam,VNM,137412198.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Vanuatu,VUT,255509.0,Mobile cellular subscriptions,182.0,327777.0,2.30 %,"7,368",27,12190.0,-43,3.6,20.0,25 %,0.00 %,168.0,"$983,582,865",$984 million,1.85%,"313,046","$3,142",0.00%,26.889007383100903
World,WLD,8361404370.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Samoa,WSM,134320.0,Mobile cellular subscriptions,189.0,218019.0,0.63 %,"1,356",77,2830.0,"-2,754",3.8,20.0,16 %,0.00 %,171.0,"$832,421,565",$832 million,-6.02%,"215,261","$3,867",0.00%,77.03851590106007
Kosovo,XKX,,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",YEM,,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
South Africa,ZAF,100259890.0,Mobile cellular subscriptions,24.0,64007187.0,1.26 %,"794,803",53,1213090.0,"166,972",2.2,28.0,66 %,0.78 %,37.0,"$405,870,000,000",$406 billion,2.04%,"62,378,410","$6,507",0.40%,52.76375784154514
Zambia,ZMB,19838000.0,Mobile cellular subscriptions,63.0,21314956.0,2.85 %,"590,991",29,743390.0,"7,381",4.0,18.0,46 %,0.26 %,102.0,"$29,784,454,056",$29.78 billion,4.74%,"20,152,938","$1,478",0.03%,28.672642892694277
Zimbabwe,ZWE,14300790.0,Mobile cellular subscriptions,74.0,16634373.0,1.80 %,"293,551",43,386850.0,"-60,528",3.7,18.0,38 %,0.20 %,112.0,"$20,678,055,598",$20.68 billion,3.40%,"16,069,056","$1,287",0.02%,42.99954245831718
Russia,,,,9.0,144820423.0,-0.43 %,"-620,077",9,16376870.0,"-178,042",1.5,40.0,75 %,1.77 %,8.0,"$2,240,420,000,000",$2.240 trillion,-2.07%,"145,579,899","$15,390",2.23%,8.842985442273157
Egypt,,,,13.0,116538258.0,1.75 %,"2,002,486",117,995450.0,"123,884",2.7,24.0,41 %,1.43 %,31.0,"$476,748,000,000",$477 billion,6.59%,"112,618,250","$4,233",0.47%,117.07093073484354
DR Congo,,,,15.0,109276265.0,3.30 %,"3,486,534",48,2267050.0,"-26,968",6.0,16.0,44 %,1.34 %,85.0,"$58,065,953,573",$58.07 billion,8.92%,"102,396,968",$567,0.06%,48.20196510884189
Vietnam,,,,16.0,100987686.0,0.63 %,"635,494",326,310070.0,"-59,645",1.9,33.0,41 %,1.24 %,35.0,"$408,802,000,000",$409 billion,8.02%,"99,680,655","$4,101",0.41%,325.6931854097462
Iran,,,,17.0,91567738.0,1.06 %,"959,031",56,1628550.0,"190,156",1.7,33.0,73 %,1.12 %,40.0,"$388,544,000,000",$389 billion,2.75%,"89,524,246","$4,340",0.39%,56.22654385803322
